client_name,timestamp,store_id,review,rating
Kevin Bolton DDS,2023-09-02 02:43:32,513,I regret coming here.,1
Jodi Duncan,2023-09-02 15:39:22,103,Good value for money.,4
Gerald Delacruz,2023-09-01 07:37:35,190,Highly recommended!,5
Anthony Stark DDS,2023-09-02 14:12:50,486,Typical visit.,3
Katherine Garcia,2023-09-02 18:54:16,219,Impressive attention to detail.,5
Patricia Barnes,2023-09-01 05:20:00,546,I'd recommend this to a friend.,4
Tammie Torres,2023-09-04 13:41:47,457,The worst experience ever!,1
Anthony Fox,2023-09-04 00:15:26,528,I'd recommend this to a friend.,4
Heather Tucker,2023-09-02 18:08:01,173,Typical visit.,3
Eddie Floyd,2023-09-03 02:53:27,537,Might come back.,3
Cheryl Sanders,2023-09-04 16:14:38,399,Expected better.,2
Cynthia Brown,2023-09-02 16:12:32,54,Typical visit.,3
Joseph Green,2023-09-02 09:00:51,486,"Nothing to complain about, but nothing great either.",3
Mr. William Logan,2023-09-03 14:50:37,520,Average service.,3
Victor Guerra,2023-09-02 06:13:23,239,"Staff was okay, service wasn't.",2
Melissa Dunn,2023-09-02 09:44:58,529,I'll definitely be back.,5
Katie Cooper,2023-09-01 16:32:32,379,Frustrating experience.,1
Nicole Phillips,2023-09-03 22:26:35,442,It was okay.,3
Stephen Delgado,2023-09-04 04:02:32,371,Best experience in a while!,5
Isaac Roberts,2023-09-04 14:24:46,494,Good value for money.,4
Stephanie Rowe,2023-09-04 00:15:31,440,Expected better.,2
Justin Roberts,2023-09-04 07:24:39,325,Disastrous visit!,1
Briana Dudley,2023-09-02 03:43:36,76,Neither good nor bad.,3
Danielle Henry,2023-09-03 17:58:11,262,Waste of time.,1
Cheryl Whitney,2023-09-02 08:05:06,91,Expected better.,2
Kelly Chan,2023-09-01 22:19:35,320,I'm satisfied.,4
Michelle Humphrey,2023-09-03 14:29:47,529,Very dissatisfied!,1
Stephanie Smith,2023-09-01 14:31:00,293,Frustrating experience.,1
Renee Sullivan,2023-09-03 15:11:02,433,I'll definitely be back.,5
Rose Weaver,2023-09-01 20:51:34,550,A bit disappointing.,2
Shannon Olson,2023-09-04 22:43:33,470,Better than I expected!,4
Stephen King,2023-09-01 17:59:54,353,I'm satisfied.,4
Denise Fernandez,2023-09-04 03:43:25,174,The worst experience ever!,1
Sandra Bowen,2023-09-02 23:50:37,261,Could be better.,2
Louis Williams,2023-09-02 15:29:35,385,Disastrous visit!,1
Heather Barry,2023-09-02 21:12:35,519,The staff went above and beyond.,5
Alexander Tucker,2023-09-04 01:08:55,46,Mediocre at best.,2
Tina Mayo,2023-09-03 11:08:12,465,Horrible service!,1
James Brown,2023-09-04 14:27:38,491,Exceptional service!,5
Justin Flores,2023-09-03 10:51:44,104,Quite enjoyable!,4
Pamela Barrett,2023-09-02 14:20:43,197,I had a pleasant time.,4
Jennifer Martin,2023-09-03 17:17:46,81,Might come back.,3
Gloria Ramos,2023-09-04 10:10:31,123,Could be better.,2
Annette Harvey,2023-09-04 20:46:09,156,Might come back.,3
Gary Parsons,2023-09-02 16:53:22,17,I'll definitely be back.,5
Gina Ray,2023-09-03 12:44:08,471,Friendly staff.,4
Lisa Perez,2023-09-02 03:04:56,501,I had a pleasant time.,4
Beverly James,2023-09-04 23:53:01,115,I had a pleasant time.,4
Tara Flynn,2023-09-02 06:38:41,277,Terrible ambiance.,1
Shannon Orr,2023-09-01 16:09:45,230,Will come again.,4
Lindsay Valenzuela,2023-09-01 21:40:51,365,Exceptional service!,5
Mrs. Bethany Hamilton,2023-09-03 21:56:48,530,Waste of time.,1
Michael Johnson,2023-09-02 01:16:51,1,Expected better.,2
Pamela Davis,2023-09-01 01:14:55,384,Won't be my first choice next time.,2
Anthony Avila,2023-09-01 05:51:09,371,The staff went above and beyond.,5
Matthew Walker,2023-09-01 14:17:52,34,It was fine.,3
Mr. William Logan,2023-09-03 03:07:37,495,Will come again.,4
Ryan Oconnor,2023-09-03 21:03:38,12,Might come back.,3
Eddie Floyd,2023-09-02 09:46:16,201,The worst experience ever!,1
Jesus Griffin,2023-09-04 20:09:58,25,Mediocre at best.,2
Laura Obrien,2023-09-02 22:52:10,24,Service was swift.,4
Samuel Cabrera,2023-09-04 20:46:07,502,It was fine.,3
Andrew Larsen,2023-09-04 06:56:41,379,A bit disappointing.,2
Daniel Anderson,2023-09-01 15:01:18,397,I'm not impressed.,2
Tricia Powers,2023-09-02 03:11:24,282,I'm satisfied.,4
Mr. Matthew Spears,2023-09-02 17:07:30,47,Very dissatisfied!,1
Jennifer Stark,2023-09-02 07:13:33,242,Disastrous visit!,1
Michelle Williams,2023-09-03 21:40:22,518,Will come again.,4
Brandon Nichols,2023-09-02 03:01:52,72,"Staff was okay, service wasn't.",2
Edward Perry,2023-09-04 15:01:04,423,Very dissatisfied!,1
Jared Hodge,2023-09-03 18:12:58,329,Not great.,2
Theresa Hale,2023-09-03 13:36:43,399,Not great.,2
Jennifer Adams,2023-09-04 19:53:10,247,"Staff was okay, service wasn't.",2
Evan Williams,2023-09-03 18:13:44,205,Won't come again.,1
Cory Hines,2023-09-03 00:03:34,469,Perfect ambiance!,5
Jason Oneill,2023-09-02 21:43:45,217,Neither good nor bad.,3
Matthew Carson,2023-09-01 21:57:17,382,Okay for the price.,3
Ryan Nelson,2023-09-03 20:56:11,429,Friendly staff.,4
Mr. Matthew Spears,2023-09-03 20:56:31,80,Very dissatisfied!,1
Gary Newton,2023-09-03 09:26:25,511,Impressive attention to detail.,5
Paul Benson,2023-09-02 09:03:27,210,Expected better.,2
Angela Sanchez,2023-09-02 07:58:11,517,Pretty good!,4
Anthony Stark DDS,2023-09-04 02:12:04,372,Quite enjoyable!,4
Diane Walker,2023-09-01 05:02:43,452,Might come back.,3
Joseph Moss,2023-09-01 17:16:13,250,Average service.,3
Kenneth Ramirez,2023-09-03 04:38:26,395,Disastrous visit!,1
Mr. Gerald Ramirez Jr.,2023-09-04 09:07:11,199,Very happy!,5
Christopher Reid,2023-09-04 09:40:26,360,"Nothing to complain about, but nothing great either.",3
Nicole Fuentes,2023-09-03 22:50:44,516,It was fine.,3
Sylvia Jones,2023-09-03 08:37:36,548,I'm not impressed.,2
James Knight,2023-09-03 22:46:41,104,I had a pleasant time.,4
Jack Frederick,2023-09-01 17:51:26,381,"Nothing to complain about, but nothing great either.",3
Kayla Kelly,2023-09-03 21:16:16,247,I'm not impressed.,2
Theresa Hale,2023-09-02 02:07:01,7,Exceptional service!,5
Tricia Powers,2023-09-03 18:39:49,529,Highly recommended!,5
Brandon Nichols,2023-09-03 07:12:28,365,It was okay.,3
Crystal Moore,2023-09-04 18:58:39,190,"Staff was okay, service wasn't.",2
Travis Vargas,2023-09-04 11:18:16,112,A bit disappointing.,2
Patricia Thornton,2023-09-01 07:12:32,440,Mediocre at best.,2
Douglas Mccann,2023-09-02 03:23:19,5,I'm not impressed.,2
Veronica Rodriguez,2023-09-03 02:20:29,513,Service was swift.,4
Michael Cook,2023-09-03 21:25:06,163,Horrible service!,1
Dylan Davis,2023-09-03 01:28:13,239,Service was decent.,3
Stacy Marquez,2023-09-04 13:28:22,444,The worst experience ever!,1
Daniel Hicks,2023-09-02 12:02:37,105,Horrible service!,1
Isaac Roberts,2023-09-03 12:52:14,546,"Staff was okay, service wasn't.",2
Michelle May,2023-09-02 06:44:26,331,Very happy!,5
Alison Bradley,2023-09-03 18:24:39,358,I had a pleasant time.,4
Dominic Gilbert,2023-09-04 20:32:37,284,"Staff was okay, service wasn't.",2
Stephen Delgado,2023-09-01 02:58:28,233,Good value for money.,4
Katie Cooper,2023-09-03 15:34:54,62,Excellent service!,5
Daniel Anderson,2023-09-01 15:16:44,466,It was fine.,3
Paul Torres,2023-09-01 02:16:13,42,Not great.,2
Duane James,2023-09-01 21:52:34,298,Typical visit.,3
Elizabeth Gonzalez,2023-09-04 10:08:07,80,Highly recommended!,5
Miss Vanessa Hernandez,2023-09-03 22:46:32,315,Pretty good!,4
Tammy Simpson,2023-09-02 07:48:49,161,Unpleasant staff.,1
Dominic Gilbert,2023-09-04 09:27:54,179,Best experience in a while!,5
Steven Pennington,2023-09-03 17:30:38,248,Average service.,3
Jennifer Fletcher,2023-09-01 01:01:29,239,Impressive attention to detail.,5
Regina George,2023-09-02 23:05:54,482,Disastrous visit!,1
William Phillips,2023-09-03 22:51:49,488,Typical visit.,3
Kelly Jimenez,2023-09-02 15:39:01,34,Mediocre at best.,2
Andrew Brennan,2023-09-04 04:22:13,208,Service was decent.,3
Rose Weaver,2023-09-01 13:28:00,171,Best experience in a while!,5
Zachary Villa,2023-09-03 11:30:29,57,Terrible ambiance.,1
Tammy Rodriguez,2023-09-04 15:34:18,153,Very dissatisfied!,1
Douglas Brown,2023-09-01 00:10:09,156,Mediocre at best.,2
Amanda Davis,2023-09-04 13:42:45,327,Horrible service!,1
Joshua Williams,2023-09-03 18:47:34,268,Had higher expectations.,2
Ian Nelson,2023-09-02 18:32:20,135,It was okay.,3
Heather Cook,2023-09-01 04:51:42,80,Disastrous visit!,1
David Dickson,2023-09-01 14:30:52,420,Will come again.,4
Thomas Hughes,2023-09-03 04:30:13,268,I regret coming here.,1
Briana Dudley,2023-09-04 18:44:03,60,A bit disappointing.,2
Darryl Brown,2023-09-04 14:55:55,155,Good value for money.,4
Samantha Smith,2023-09-04 10:32:44,409,Horrible service!,1
Christopher Williams,2023-09-03 14:12:32,501,I'll definitely be back.,5
Annette Harvey,2023-09-04 07:34:13,512,I'd recommend this to a friend.,4
Travis Johnson,2023-09-02 22:44:56,417,Could be better.,2
Lisa Rose,2023-09-03 01:16:31,126,Had higher expectations.,2
Melissa Whitehead,2023-09-01 04:41:15,237,Not great.,2
Kathryn Henry DVM,2023-09-02 05:44:08,62,Service was decent.,3
David Perez,2023-09-01 19:00:25,305,Excellent service!,5
Zachary Singh,2023-09-04 16:18:03,133,Expected better.,2
Heather Barry,2023-09-04 06:55:42,200,Couldn't have been better!,5
Rose Weaver,2023-09-03 20:41:44,112,"Nothing to complain about, but nothing great either.",3
Michael Scott,2023-09-03 02:49:37,477,"Nothing to complain about, but nothing great either.",3
Shannon Smith,2023-09-01 09:03:29,70,Service was swift.,4
Stephanie Rowe,2023-09-01 05:10:39,80,Typical visit.,3
Mandy Jordan,2023-09-03 05:02:56,6,Pretty good!,4
Elizabeth Gonzalez,2023-09-03 13:00:47,483,Pretty good!,4
Craig Dalton,2023-09-02 15:11:42,223,Couldn't have been better!,5
Ashley Sheppard,2023-09-04 15:37:35,360,Waste of time.,1
Dominic Gilbert,2023-09-03 13:01:29,135,Expected better.,2
Tammy Gonzalez,2023-09-01 23:57:38,353,Not great.,2
Brian Glass,2023-09-02 11:40:47,143,Mediocre at best.,2
Ryan Kim,2023-09-01 19:46:06,254,Good value for money.,4
Benjamin Stewart,2023-09-03 19:11:52,516,I regret coming here.,1
Mike Suarez,2023-09-02 10:49:46,28,Impressive attention to detail.,5
Elizabeth Gonzalez,2023-09-02 04:12:22,528,I'm satisfied.,4
Jeffrey White,2023-09-02 00:16:51,373,Waste of time.,1
Gina Rivera,2023-09-03 04:01:20,187,Friendly staff.,4
Randy Clarke,2023-09-04 03:40:17,22,Very dissatisfied!,1
Tammy Wolf,2023-09-02 00:02:54,438,Will come again.,4
Joshua Haas,2023-09-03 21:00:53,170,Very happy!,5
Duane James,2023-09-01 03:10:50,467,Very happy!,5
Stephanie Jones,2023-09-01 09:51:12,155,Frustrating experience.,1
Natalie Terry,2023-09-02 08:15:11,276,Highly recommended!,5
Jack Frederick,2023-09-03 18:16:58,211,Very dissatisfied!,1
Thomas Green,2023-09-02 15:17:25,123,Frustrating experience.,1
Dylan Silva,2023-09-04 05:06:05,466,Impressive attention to detail.,5
Matthew Ayala,2023-09-03 12:14:35,544,Excellent service!,5
Nicole Avila,2023-09-04 02:25:10,61,Average service.,3
Paul Carter,2023-09-02 03:26:00,114,I'll definitely be back.,5
Erin Ward,2023-09-03 19:26:15,535,Mediocre at best.,2
Christy Mendoza,2023-09-02 21:47:51,397,Not great.,2
Nathan Powell,2023-09-01 05:23:36,33,Impressive attention to detail.,5
Cheryl Sanders,2023-09-04 06:33:01,40,Had higher expectations.,2
Brian Williams,2023-09-02 04:29:52,478,Average service.,3
Stephen Murphy,2023-09-01 15:38:32,86,Very happy!,5
Jennifer Wilson,2023-09-04 04:31:28,131,Unpleasant staff.,1
Joshua Edwards,2023-09-01 04:46:32,340,Very dissatisfied!,1
Robert Fowler,2023-09-01 21:04:41,128,The staff went above and beyond.,5
Christine Wagner,2023-09-02 05:14:38,307,Unpleasant staff.,1
Michelle Orozco,2023-09-04 11:54:28,305,The staff went above and beyond.,5
Felicia Baird,2023-09-02 23:07:45,528,Had higher expectations.,2
David Escobar,2023-09-01 20:42:43,75,Pretty good!,4
David Holt,2023-09-01 07:11:35,535,It was okay.,3
Douglas Brown,2023-09-04 12:39:24,139,Impressive attention to detail.,5
Margaret Perry,2023-09-01 19:25:04,137,Very dissatisfied!,1
John Koch,2023-09-01 18:08:22,448,Not great.,2
Nathan Lucas,2023-09-01 12:04:32,465,Mediocre at best.,2
Mary Wright,2023-09-04 16:18:10,343,Average service.,3
Gloria Ramos,2023-09-03 01:09:11,349,Impressive attention to detail.,5
Tricia Kelly,2023-09-02 17:28:37,88,I'd recommend this to a friend.,4
Anthony Hicks,2023-09-02 03:55:01,3,Unpleasant staff.,1
Daniel Jones,2023-09-01 09:15:02,461,Horrible service!,1
Jennifer Miller,2023-09-04 01:50:03,92,Took too long.,2
Matthew Walker,2023-09-02 14:25:02,165,The staff went above and beyond.,5
Bruce Rogers,2023-09-03 17:58:42,115,Exceptional service!,5
Paul Benson,2023-09-02 11:44:43,10,"Nothing to complain about, but nothing great either.",3
Nancy Callahan,2023-09-03 22:50:35,533,Had higher expectations.,2
Kimberly Patel,2023-09-03 16:00:02,336,I'm satisfied.,4
Peter Wagner,2023-09-03 10:32:38,222,Wasn't disappointed but wasn't impressed either.,3
Shannon Olson,2023-09-02 10:23:24,50,Had higher expectations.,2
Kenneth Smith,2023-09-03 20:00:35,88,Waste of time.,1
Daniel Schaefer,2023-09-02 03:15:19,23,Service was swift.,4
Anthony Fox,2023-09-03 03:50:25,386,Frustrating experience.,1
Pamela Barrett,2023-09-04 23:16:13,132,Very dissatisfied!,1
Sharon Davis,2023-09-02 10:30:46,93,Frustrating experience.,1
Shawn Hughes,2023-09-04 04:26:14,9,I'm not impressed.,2
Tanya Calhoun,2023-09-02 18:26:57,132,Disastrous visit!,1
Alexis Miller,2023-09-04 16:33:29,124,Unpleasant staff.,1
Jay Mcgee,2023-09-03 23:01:33,72,Horrible service!,1
Judy Howell,2023-09-01 09:05:12,409,I had a pleasant time.,4
James Nelson,2023-09-03 06:59:34,360,Might come back.,3
Amy Daniels,2023-09-02 22:20:20,519,Pretty good!,4
Mary Perez,2023-09-01 03:42:14,158,Very dissatisfied!,1
Kelly Foster,2023-09-01 12:37:02,111,I'd recommend this to a friend.,4
Sarah Mann,2023-09-02 18:54:14,3,Pretty good!,4
Courtney Johnson,2023-09-04 05:13:25,449,Pretty good!,4
Melinda Parker,2023-09-02 18:51:18,321,Highly recommended!,5
Jacob Hernandez,2023-09-01 19:11:07,311,Very happy!,5
Alexis Roberson,2023-09-02 15:50:40,90,"Nothing to complain about, but nothing great either.",3
Megan Carter,2023-09-01 18:21:44,415,Very dissatisfied!,1
Anthony Woods,2023-09-02 04:12:26,407,Typical visit.,3
Mark Cardenas,2023-09-01 18:01:58,229,Terrible ambiance.,1
Beverly James,2023-09-01 09:58:45,305,Very dissatisfied!,1
Stephanie Bell,2023-09-02 10:20:43,375,Couldn't have been better!,5
Bethany Marshall,2023-09-02 15:16:01,443,Excellent service!,5
Michael Tran,2023-09-04 15:19:15,492,Not great.,2
Tracey Gutierrez,2023-09-01 05:49:50,10,Exceptional service!,5
Shelby Hall,2023-09-04 18:55:34,547,Neither good nor bad.,3
Stacy Dawson,2023-09-03 03:06:26,513,Will come again.,4
David Hughes,2023-09-04 19:23:54,391,Service was swift.,4
Gerald Trevino,2023-09-01 10:04:53,188,Highly recommended!,5
Deborah Collins,2023-09-02 01:50:00,488,Won't come again.,1
Carolyn Myers,2023-09-03 15:43:47,193,Typical visit.,3
Jeremy Jones,2023-09-01 20:22:08,427,Disastrous visit!,1
Beverly James,2023-09-01 04:40:32,239,Very dissatisfied!,1
Stacy Dawson,2023-09-01 10:00:29,543,Very dissatisfied!,1
David Perez,2023-09-03 14:25:10,143,Couldn't have been better!,5
Jeffrey Delgado,2023-09-03 03:37:45,383,The staff went above and beyond.,5
Corey Berg,2023-09-04 23:20:50,138,The worst experience ever!,1
Dennis Dunn,2023-09-01 07:10:17,185,The staff went above and beyond.,5
Danny Campos,2023-09-04 23:36:20,99,Took too long.,2
Sue Garcia,2023-09-01 11:22:38,388,Excellent service!,5
Anthony Hicks,2023-09-02 22:29:14,122,Mediocre at best.,2
Erin Ward,2023-09-04 08:40:49,427,The staff went above and beyond.,5
David Holt,2023-09-02 12:55:55,245,Horrible service!,1
Joseph Krueger,2023-09-01 13:33:56,142,Impressive attention to detail.,5
Beverly James,2023-09-04 01:18:41,421,Typical visit.,3
Joseph Green,2023-09-01 10:54:00,131,I regret coming here.,1
Sandra Taylor,2023-09-03 10:10:03,319,Disastrous visit!,1
Lee Peterson,2023-09-03 15:06:30,455,Expected better.,2
Brandy Medina,2023-09-02 04:40:56,291,"Nothing to complain about, but nothing great either.",3
Karen Potter DDS,2023-09-03 06:07:43,413,Friendly staff.,4
Ryan Dixon,2023-09-02 15:24:29,422,Frustrating experience.,1
Aaron Smith,2023-09-01 16:16:12,39,Disastrous visit!,1
Michael Johnson,2023-09-02 22:55:28,61,Okay for the price.,3
James Nelson,2023-09-04 15:03:58,304,"Nothing to complain about, but nothing great either.",3
Michael Lee,2023-09-04 08:08:50,304,Not great.,2
Ann James,2023-09-04 07:10:35,118,Highly recommended!,5
Nicholas Lopez,2023-09-01 19:17:30,169,Not great.,2
Nicole Wong MD,2023-09-02 08:38:34,209,I'll definitely be back.,5
Hannah Wilson,2023-09-01 08:28:43,155,Perfect ambiance!,5
Briana Dudley,2023-09-02 19:36:39,8,I'm not impressed.,2
Brittney Richardson,2023-09-04 09:13:35,140,Not great.,2
Kenneth Ramirez,2023-09-03 19:55:23,12,Very happy!,5
Justin Flores,2023-09-03 12:42:57,53,It was fine.,3
Ashley Cobb,2023-09-03 21:59:27,528,I had a pleasant time.,4
Heather Tucker,2023-09-01 07:38:07,180,Unpleasant staff.,1
Sue Garcia,2023-09-01 19:46:41,84,I'm satisfied.,4
Kenneth Stewart,2023-09-04 23:27:28,51,Had higher expectations.,2
Kelsey Marsh,2023-09-04 21:35:10,289,Won't be my first choice next time.,2
Jennifer Howard,2023-09-01 04:56:51,484,I regret coming here.,1
Robert Harper,2023-09-01 07:01:06,226,Okay for the price.,3
Isabella Allen,2023-09-03 08:02:50,199,Pretty good!,4
Joseph King,2023-09-01 17:17:39,340,Better than I expected!,4
Alyssa Simpson,2023-09-04 03:24:38,248,Pretty good!,4
Kayla Murphy,2023-09-03 02:01:01,209,Impressive attention to detail.,5
Christine Wagner,2023-09-04 02:40:32,224,I regret coming here.,1
Megan Gonzalez,2023-09-02 23:25:16,324,Perfect ambiance!,5
Randy Rios,2023-09-03 14:47:50,220,Couldn't have been better!,5
Aaron Heath,2023-09-02 17:13:42,414,Service was decent.,3
Mark Lynch,2023-09-01 06:02:48,202,Very dissatisfied!,1
Nicolas Stephens,2023-09-01 18:44:00,484,Mediocre at best.,2
Larry Ramsey,2023-09-01 06:34:16,130,Service was swift.,4
Lindsay Bates,2023-09-02 16:24:55,148,The staff went above and beyond.,5
Renee Sullivan,2023-09-04 07:57:30,17,Typical visit.,3
Joseph Carroll,2023-09-04 09:07:17,227,Better than I expected!,4
Eddie Harmon,2023-09-04 09:22:00,23,Couldn't have been better!,5
Sarah Mann,2023-09-02 22:51:38,114,The worst experience ever!,1
Michelle May,2023-09-04 15:28:36,344,Will come again.,4
Diane Black,2023-09-02 08:36:38,315,Frustrating experience.,1
Angela Armstrong,2023-09-03 17:57:00,111,Could be better.,2
Alexandra Hansen,2023-09-02 01:07:27,316,Had higher expectations.,2
Amy Lambert,2023-09-01 18:14:23,527,Not great.,2
Scott Jackson,2023-09-01 23:45:07,314,I'd recommend this to a friend.,4
Bridget Torres,2023-09-01 14:55:13,203,Quite enjoyable!,4
Catherine Turner,2023-09-01 17:27:58,196,Friendly staff.,4
Cynthia Elliott,2023-09-02 06:24:19,5,Couldn't have been better!,5
Drew Whitaker,2023-09-02 01:47:30,462,The worst experience ever!,1
Ashley Shah,2023-09-03 17:49:46,25,Quite enjoyable!,4
Susan Vasquez,2023-09-03 07:33:32,189,Frustrating experience.,1
Mark Lynch,2023-09-03 01:13:53,127,I'll definitely be back.,5
Julie Smith,2023-09-02 23:29:55,307,Terrible ambiance.,1
Samantha Wells,2023-09-04 16:33:19,143,Unpleasant staff.,1
Rose Weaver,2023-09-04 20:07:23,2,Impressive attention to detail.,5
Kelly Chan,2023-09-03 09:53:23,22,I'm satisfied.,4
Benjamin Sanford,2023-09-03 11:53:35,408,Friendly staff.,4
Ashley Gibson,2023-09-01 14:40:22,216,It was okay.,3
Anthony Kim,2023-09-04 04:45:14,272,Won't come again.,1
Brian Johns,2023-09-03 19:24:29,238,Average service.,3
Kimberly Patel,2023-09-01 01:18:39,468,"Staff was okay, service wasn't.",2
Jeffrey Delgado,2023-09-04 02:10:45,398,Very dissatisfied!,1
Max Thomas,2023-09-04 03:03:30,62,Terrible ambiance.,1
Tammy Gonzalez,2023-09-02 00:53:50,394,It was okay.,3
Tara Flynn,2023-09-01 07:33:12,415,The worst experience ever!,1
Haley Phillips MD,2023-09-01 18:15:22,12,I'd recommend this to a friend.,4
Dominic Gilbert,2023-09-03 06:50:49,398,Won't be my first choice next time.,2
Thomas Daniels,2023-09-01 18:33:08,265,Not great.,2
Michael Hopkins,2023-09-04 00:24:51,123,Mediocre at best.,2
Matthew Walker,2023-09-01 11:16:03,324,Mediocre at best.,2
Scott Tucker,2023-09-03 14:10:40,96,Excellent service!,5
Steven Wilson DDS,2023-09-01 15:28:50,29,Excellent service!,5
Stephen King,2023-09-04 21:52:29,534,Not great.,2
Courtney Thompson,2023-09-03 09:33:37,325,Service was swift.,4
Ann James,2023-09-04 03:56:04,120,Took too long.,2
Travis Vargas,2023-09-01 06:00:51,275,Might come back.,3
Katherine Kramer,2023-09-04 13:47:41,436,Best experience in a while!,5
Michael Pierce,2023-09-03 05:22:44,262,I'm satisfied.,4
Sylvia Jones,2023-09-01 08:27:09,373,Average service.,3
Curtis Martinez,2023-09-03 20:59:16,79,"Nothing to complain about, but nothing great either.",3
Shannon Green,2023-09-04 10:37:40,28,A bit disappointing.,2
Joseph Kidd,2023-09-03 18:12:05,471,Won't be my first choice next time.,2
Zachary Smith,2023-09-03 08:34:12,26,Service was swift.,4
Russell Avila,2023-09-01 03:32:40,545,Quite enjoyable!,4
Alan Blake III,2023-09-02 13:49:13,24,Neither good nor bad.,3
Jason Rosales,2023-09-02 16:51:16,121,I'd recommend this to a friend.,4
Gerald Trevino,2023-09-03 19:38:54,130,Better than I expected!,4
Norma Jones,2023-09-01 03:13:52,180,Waste of time.,1
Mr. Gerald Ramirez Jr.,2023-09-04 23:30:17,504,Had higher expectations.,2
Robert Harper,2023-09-01 15:27:25,452,Excellent service!,5
Mr. James Jennings,2023-09-01 02:36:04,380,Unpleasant staff.,1
Drew Whitaker,2023-09-02 04:12:08,21,Okay for the price.,3
Norman Flores,2023-09-03 09:39:32,448,Pretty good!,4
Larry Yang,2023-09-03 08:29:12,248,Neither good nor bad.,3
Mark Young PhD,2023-09-01 16:32:09,87,Average service.,3
Carla Graves,2023-09-01 00:10:48,431,Very dissatisfied!,1
John Holloway,2023-09-01 15:11:48,324,"Staff was okay, service wasn't.",2
Curtis Walker,2023-09-01 07:13:03,437,The staff went above and beyond.,5
Monica Stewart,2023-09-04 19:43:30,378,Excellent service!,5
Paul Torres,2023-09-01 02:00:12,144,Neither good nor bad.,3
Courtney Kane,2023-09-01 05:47:46,273,Unpleasant staff.,1
Sylvia Jones,2023-09-02 10:18:15,134,Exceptional service!,5
Julie Mcneil,2023-09-01 03:22:21,432,"Staff was okay, service wasn't.",2
Keith Tran,2023-09-01 08:52:05,186,Service was swift.,4
Gina Rivera,2023-09-02 22:49:46,188,Neither good nor bad.,3
Patricia Thornton,2023-09-04 07:34:12,182,I had a pleasant time.,4
Mary Wright,2023-09-02 17:18:00,68,Quite enjoyable!,4
Cody Cruz,2023-09-01 23:15:49,336,Typical visit.,3
Joseph Stevens,2023-09-01 01:15:29,413,Terrible ambiance.,1
Monica Stewart,2023-09-04 12:30:20,357,Neither good nor bad.,3
Tiffany Grant,2023-09-04 12:09:29,402,I regret coming here.,1
Darrell Booker,2023-09-01 09:13:39,518,Pretty good!,4
Mary Wright,2023-09-01 09:20:39,17,The worst experience ever!,1
Bryan Perkins,2023-09-03 18:09:08,31,A bit disappointing.,2
Austin Atkins,2023-09-01 20:06:09,129,"Nothing to complain about, but nothing great either.",3
Kelly Chan,2023-09-01 01:46:33,442,Will come again.,4
Elizabeth Gonzalez,2023-09-01 18:06:00,527,Waste of time.,1
Joshua Sullivan,2023-09-02 11:29:23,352,Not great.,2
Sean Mcdonald,2023-09-03 21:21:26,56,Won't be my first choice next time.,2
Kayla Murphy,2023-09-01 02:40:22,323,Average service.,3
Michael Huber,2023-09-02 01:42:58,300,Disastrous visit!,1
